transaction_id,date,channel,business_unit,amount_usd,is_fraud,fraud_type,detection_method,loss_amount_usd,recovered_amount_usd,status
TXN-500282,2024-08-17 01:20:55,Wire,Payments & Cards,84760.79,N,,,0.0,0.0,Cleared - False Positive
TXN-500315,2024-08-17 17:28:06,Mobile,Digital Banking,7297.89,N,,,0.0,0.0,Cleared - False Positive
TXN-501760,2024-08-18 03:32:16,Card,Payments & Cards,20428.97,Y,Card Not Present,Manual Review,12190.04,857.71,Under Review
TXN-502138,2024-08-18 05:29:09,Online,Digital Banking,16971.63,N,,,0.0,0.0,Cleared - False Positive
TXN-502153,2024-08-18 13:00:49,Wire,Payments & Cards,24724.31,Y,Wire Fraud,Manual Review,21703.68,8475.3,Under Review
TXN-500767,2024-08-18 13:11:40,Mobile,Digital Banking,43093.56,N,,,0.0,0.0,Cleared - False Positive
TXN-501521,2024-08-18 13:33:49,Mobile,Digital Banking,18710.71,N,,,0.0,0.0,Cleared - False Positive
TXN-501883,2024-08-18 16:38:25,Online,Digital Banking,18204.41,Y,Card Not Present,Customer Reported,15877.14,875.39,Under Review
TXN-501012,2024-08-18 18:05:47,Online,Digital Banking,42816.55,N,,,0.0,0.0,Cleared - False Positive
TXN-501778,2024-08-18 20:34:32,ACH,Commercial Banking,15715.03,N,,,0.0,0.0,Cleared - False Positive
TXN-502032,2024-08-18 20:44:15,ATM,Retail Banking,4127.75,N,,,0.0,0.0,Cleared - False Positive
TXN-501331,2024-08-19 16:16:39,Wire,Payments & Cards,61904.41,N,,,0.0,0.0,Cleared - False Positive
TXN-500938,2024-08-19 20:06:56,ACH,Commercial Banking,17432.87,Y,Synthetic Identity,Customer Reported,10473.72,369.54,Confirmed Fraud
TXN-502569,2024-08-19 23:35:35,Online,Digital Banking,21306.46,N,,,0.0,0.0,Cleared - False Positive
TXN-501164,2024-08-20 00:18:39,Card,Payments & Cards,19233.19,Y,Card Not Present,ML Model,13637.55,3344.51,Recovered
TXN-502332,2024-08-20 05:35:20,Card,Payments & Cards,13186.49,N,,,0.0,0.0,Cleared - False Positive
TXN-500204,2024-08-20 07:34:57,Mobile,Digital Banking,14940.73,N,,,0.0,0.0,Cleared - False Positive
TXN-502358,2024-08-20 07:51:56,Online,Digital Banking,3635.72,N,,,0.0,0.0,Cleared - False Positive
TXN-501350,2024-08-20 18:34:39,Online,Digital Banking,22160.38,N,,,0.0,0.0,Cleared - False Positive
TXN-502155,2024-08-20 23:47:52,Card,Payments & Cards,21255.24,Y,Synthetic Identity,ML Model,18333.75,216.78,Under Review
TXN-501555,2024-08-21 02:17:33,Mobile,Digital Banking,39818.69,Y,Synthetic Identity,ML Model,18972.38,2663.21,Under Review
TXN-502420,2024-08-21 03:09:03,Online,Digital Banking,22258.75,N,,,0.0,0.0,Cleared - False Positive
TXN-501053,2024-08-21 06:09:55,Online,Digital Banking,9804.31,Y,Account Takeover,ML Model,8961.52,1560.98,Charged Off
TXN-502594,2024-08-21 08:55:32,Wire,Payments & Cards,11872.68,N,,,0.0,0.0,Cleared - False Positive
TXN-500618,2024-08-21 13:53:13,ACH,Commercial Banking,3763.81,N,,,0.0,0.0,Cleared - False Positive
TXN-501163,2024-08-22 14:37:00,Mobile,Digital Banking,305.8,N,,,0.0,0.0,Cleared - False Positive
TXN-501398,2024-08-22 19:07:15,Online,Digital Banking,16585.61,N,,,0.0,0.0,Cleared - False Positive
TXN-501226,2024-08-22 22:17:24,ACH,Commercial Banking,19763.97,N,,,0.0,0.0,Cleared - False Positive
TXN-500461,2024-08-23 04:14:24,Card,Payments & Cards,6875.95,N,,,0.0,0.0,Cleared - False Positive
TXN-500729,2024-08-23 06:04:40,Mobile,Digital Banking,31357.85,Y,Account Takeover,ML Model,30387.7,1077.91,Under Review
TXN-500328,2024-08-23 08:27:31,Online,Digital Banking,23392.53,Y,Card Not Present,Customer Reported,17755.69,4075.07,Under Review
TXN-500138,2024-08-23 10:02:50,ATM,Retail Banking,23016.99,N,,,0.0,0.0,Cleared - False Positive
TXN-501815,2024-08-23 22:41:29,Online,Digital Banking,4031.4,Y,Account Takeover,Manual Review,2864.51,942.58,Charged Off
TXN-501604,2024-08-24 08:13:24,Online,Digital Banking,16589.36,N,,,0.0,0.0,Cleared - False Positive
TXN-501102,2024-08-24 11:50:01,Mobile,Digital Banking,7507.32,N,,,0.0,0.0,Cleared - False Positive
TXN-500507,2024-08-24 12:22:38,ACH,Commercial Banking,18683.84,N,,,0.0,0.0,Cleared - False Positive
TXN-501639,2024-08-24 20:18:46,ACH,Commercial Banking,17921.76,Y,Account Takeover,ML Model,17574.79,142.25,Recovered
TXN-501366,2024-08-24 20:30:23,ACH,Commercial Banking,32919.9,Y,Synthetic Identity,Customer Reported,19036.83,160.2,Under Review
TXN-502193,2024-08-24 22:28:17,Mobile,Digital Banking,38993.66,N,,,0.0,0.0,Cleared - False Positive
TXN-501213,2024-08-25 22:57:23,ATM,Retail Banking,4464.21,N,,,0.0,0.0,Cleared - False Positive
TXN-501590,2024-08-27 01:36:26,Mobile,Digital Banking,145.75,Y,Account Takeover,Manual Review,82.28,2.79,Charged Off
TXN-501652,2024-08-27 01:44:40,ATM,Retail Banking,16896.11,Y,Card Not Present,Manual Review,6016.25,166.35,Confirmed Fraud
TXN-501800,2024-08-27 09:26:53,Mobile,Digital Banking,18857.07,Y,Account Takeover,Rule Engine,16597.38,338.31,Recovered
TXN-502505,2024-08-27 16:09:46,Online,Digital Banking,24063.84,N,,,0.0,0.0,Cleared - False Positive
TXN-501225,2024-08-27 18:00:14,Card,Payments & Cards,31284.66,Y,Card Not Present,Manual Review,19028.87,1346.98,Charged Off
TXN-500949,2024-08-27 22:09:48,Online,Digital Banking,15143.1,N,,,0.0,0.0,Cleared - False Positive
TXN-501583,2024-08-28 00:52:52,Online,Digital Banking,32544.59,Y,Account Takeover,Rule Engine,27021.48,7674.25,Charged Off
TXN-501070,2024-08-28 08:04:17,Online,Digital Banking,8033.64,Y,Card Not Present,Customer Reported,4321.26,1303.23,Confirmed Fraud
TXN-500250,2024-08-28 10:26:33,ACH,Commercial Banking,5724.42,Y,Account Takeover,Manual Review,2727.32,277.33,Confirmed Fraud
TXN-502063,2024-08-29 05:08:58,Online,Digital Banking,39361.38,Y,Account Takeover,Customer Reported,17430.33,3011.04,Recovered
TXN-502349,2024-08-29 08:46:59,Online,Digital Banking,23723.05,Y,Account Takeover,ML Model,15035.66,5817.65,Under Review
TXN-502102,2024-08-29 23:48:56,Wire,Payments & Cards,181419.37,Y,Business Email Compromise,Customer Reported,69287.31,11595.81,Charged Off
TXN-501733,2024-08-30 11:51:46,Card,Payments & Cards,7000.52,N,,,0.0,0.0,Cleared - False Positive
TXN-501214,2024-08-30 16:37:30,Online,Digital Banking,11423.07,N,,,0.0,0.0,Cleared - False Positive
TXN-502160,2024-08-31 09:24:57,ACH,Commercial Banking,21628.41,Y,Account Takeover,Customer Reported,16855.32,1967.27,Recovered
TXN-501175,2024-08-31 18:06:55,Card,Payments & Cards,18176.37,Y,Card Skimming,Rule Engine,13365.8,5.9,Under Review
TXN-500163,2024-08-31 20:12:17,ATM,Retail Banking,10166.71,Y,Card Not Present,ML Model,7725.2,155.54,Under Review
TXN-500634,2024-08-31 21:19:21,Card,Payments & Cards,21844.04,N,,,0.0,0.0,Cleared - False Positive
TXN-501238,2024-08-31 23:38:39,ATM,Retail Banking,32795.45,Y,Card Skimming,Customer Reported,31559.16,10315.03,Under Review
TXN-502042,2024-09-01 18:39:33,Mobile,Digital Banking,35357.98,N,,,0.0,0.0,Cleared - False Positive
TXN-501782,2024-09-02 02:05:47,ATM,Retail Banking,18146.24,N,,,0.0,0.0,Cleared - False Positive
TXN-500581,2024-09-02 05:03:56,Card,Payments & Cards,42869.64,Y,Synthetic Identity,Customer Reported,36842.26,11591.67,Under Review
TXN-501488,2024-09-02 14:19:22,Online,Digital Banking,29932.09,N,,,0.0,0.0,Cleared - False Positive
TXN-502418,2024-09-02 15:21:51,Online,Digital Banking,9395.1,Y,Card Not Present,Customer Reported,4002.71,1916.63,Confirmed Fraud
TXN-500776,2024-09-02 21:59:50,Online,Digital Banking,22658.23,Y,Card Not Present,Manual Review,17581.26,5120.66,Recovered
TXN-501767,2024-09-03 09:05:28,Card,Payments & Cards,778.37,Y,Card Skimming,Customer Reported,754.72,196.4,Recovered
TXN-502068,2024-09-03 20:06:13,Online,Digital Banking,44486.17,N,,,0.0,0.0,Cleared - False Positive
TXN-502492,2024-09-03 21:32:00,Mobile,Digital Banking,19576.35,Y,Synthetic Identity,ML Model,9944.51,2954.7,Recovered
TXN-502378,2024-09-04 08:13:47,Online,Digital Banking,26148.67,N,,,0.0,0.0,Cleared - False Positive
TXN-501176,2024-09-05 05:15:19,ATM,Retail Banking,2111.55,Y,Card Skimming,Rule Engine,867.26,6.97,Under Review
TXN-501182,2024-09-05 14:01:06,Mobile,Digital Banking,35742.88,N,,,0.0,0.0,Cleared - False Positive
TXN-502374,2024-09-05 21:17:28,Card,Payments & Cards,40445.88,Y,Card Not Present,ML Model,19134.39,1904.99,Recovered
TXN-502233,2024-09-05 23:49:26,ACH,Commercial Banking,7227.94,Y,Account Takeover,Rule Engine,5033.97,1060.96,Under Review
TXN-501912,2024-09-06 09:23:12,Wire,Payments & Cards,38855.4,N,,,0.0,0.0,Cleared - False Positive
TXN-500935,2024-09-06 18:04:49,ACH,Commercial Banking,29272.16,N,,,0.0,0.0,Cleared - False Positive
TXN-501492,2024-09-07 02:53:34,Card,Payments & Cards,39383.87,Y,Card Skimming,Manual Review,15291.84,1873.23,Recovered
TXN-500285,2024-09-07 05:09:18,ACH,Commercial Banking,877.45,N,,,0.0,0.0,Cleared - False Positive
TXN-500403,2024-09-07 07:21:15,Card,Payments & Cards,6156.65,Y,Card Skimming,Customer Reported,4685.64,421.8,Confirmed Fraud
TXN-501442,2024-09-07 13:53:16,Wire,Payments & Cards,190297.21,Y,Wire Fraud,Rule Engine,69394.49,1449.41,Recovered
TXN-501784,2024-09-08 00:42:55,Online,Digital Banking,11835.98,Y,Account Takeover,Manual Review,10349.18,2446.59,Confirmed Fraud
TXN-500785,2024-09-08 10:33:46,Card,Payments & Cards,30713.18,Y,Synthetic Identity,ML Model,11219.64,4277.44,Charged Off
TXN-500141,2024-09-08 20:58:54,Wire,Payments & Cards,195140.42,N,,,0.0,0.0,Cleared - False Positive
TXN-501526,2024-09-09 03:52:48,Card,Payments & Cards,13523.23,N,,,0.0,0.0,Cleared - False Positive
TXN-501692,2024-09-09 23:25:19,ACH,Commercial Banking,30676.69,Y,Synthetic Identity,Manual Review,23855.33,4181.52,Confirmed Fraud
TXN-501112,2024-09-10 13:13:48,Wire,Payments & Cards,231883.78,N,,,0.0,0.0,Cleared - False Positive
TXN-501503,2024-09-10 16:33:51,ATM,Retail Banking,26602.06,Y,Card Not Present,Rule Engine,8809.53,716.12,Under Review
TXN-501981,2024-09-10 19:26:06,Online,Digital Banking,42712.48,N,,,0.0,0.0,Cleared - False Positive
TXN-500042,2024-09-10 23:36:43,Wire,Payments & Cards,176082.2,N,,,0.0,0.0,Cleared - False Positive
TXN-502108,2024-09-11 01:35:15,Card,Payments & Cards,24058.78,N,,,0.0,0.0,Cleared - False Positive
TXN-501083,2024-09-11 02:47:11,Wire,Payments & Cards,10052.7,N,,,0.0,0.0,Cleared - False Positive
TXN-501745,2024-09-11 07:21:15,Card,Payments & Cards,44009.98,Y,Card Skimming,Manual Review,33086.03,13830.55,Confirmed Fraud
TXN-501506,2024-09-11 08:04:31,ATM,Retail Banking,20227.26,Y,Card Not Present,Customer Reported,6744.47,247.39,Confirmed Fraud
TXN-501533,2024-09-11 11:21:20,ATM,Retail Banking,18919.3,N,,,0.0,0.0,Cleared - False Positive
TXN-501975,2024-09-11 13:57:02,Card,Payments & Cards,17742.17,Y,Synthetic Identity,Manual Review,11683.25,998.19,Recovered
TXN-500435,2024-09-11 16:04:30,Wire,Payments & Cards,177402.77,N,,,0.0,0.0,Cleared - False Positive
TXN-500636,2024-09-12 03:31:33,Card,Payments & Cards,35634.56,Y,Synthetic Identity,Customer Reported,35307.71,15034.5,Recovered
TXN-501250,2024-09-12 13:02:45,Card,Payments & Cards,44205.91,N,,,0.0,0.0,Cleared - False Positive
TXN-502103,2024-09-13 05:31:15,Mobile,Digital Banking,14224.89,N,,,0.0,0.0,Cleared - False Positive
TXN-500365,2024-09-13 07:08:56,Card,Payments & Cards,35691.62,N,,,0.0,0.0,Cleared - False Positive
TXN-502200,2024-09-13 10:19:06,Wire,Payments & Cards,219890.24,Y,Business Email Compromise,Customer Reported,97765.15,1402.97,Charged Off
TXN-500351,2024-09-13 10:59:42,Online,Digital Banking,13690.07,N,,,0.0,0.0,Cleared - False Positive
TXN-501589,2024-09-13 11:26:11,Wire,Payments & Cards,10575.6,N,,,0.0,0.0,Cleared - False Positive
TXN-500078,2024-09-13 17:33:34,Wire,Payments & Cards,79196.52,N,,,0.0,0.0,Cleared - False Positive
TXN-500015,2024-09-14 10:47:34,Online,Digital Banking,8679.21,N,,,0.0,0.0,Cleared - False Positive
TXN-500966,2024-09-15 10:35:25,ATM,Retail Banking,41036.03,Y,Card Skimming,Manual Review,35521.77,8501.08,Charged Off
TXN-500499,2024-09-15 15:12:12,ACH,Commercial Banking,13950.39,N,,,0.0,0.0,Cleared - False Positive
TXN-500918,2024-09-16 01:04:29,Online,Digital Banking,7179.9,Y,Account Takeover,ML Model,4664.09,615.29,Charged Off
TXN-502306,2024-09-16 03:49:17,Online,Digital Banking,34100.01,N,,,0.0,0.0,Cleared - False Positive
TXN-501173,2024-09-16 05:07:26,Online,Digital Banking,7997.58,Y,Account Takeover,ML Model,3184.27,35.0,Recovered
TXN-501898,2024-09-16 11:36:46,ACH,Commercial Banking,22770.78,Y,Synthetic Identity,Rule Engine,8844.85,2293.46,Confirmed Fraud
TXN-500197,2024-09-16 12:09:10,Wire,Payments & Cards,201607.86,Y,Wire Fraud,Manual Review,157861.36,1634.69,Recovered
TXN-501262,2024-09-16 13:53:22,Card,Payments & Cards,31028.74,N,,,0.0,0.0,Cleared - False Positive
TXN-501933,2024-09-16 18:26:25,Mobile,Digital Banking,43754.23,Y,Account Takeover,ML Model,29749.93,10180.8,Recovered
TXN-500562,2024-09-17 22:25:44,Mobile,Digital Banking,38452.51,Y,Account Takeover,ML Model,20355.85,517.53,Under Review
TXN-501664,2024-09-18 05:07:41,Online,Digital Banking,13244.86,Y,Account Takeover,Customer Reported,7970.91,72.04,Charged Off
TXN-502072,2024-09-18 05:56:53,Card,Payments & Cards,25167.62,N,,,0.0,0.0,Cleared - False Positive
TXN-501777,2024-09-18 10:28:32,Wire,Payments & Cards,132908.19,Y,Business Email Compromise,ML Model,58432.58,1604.07,Confirmed Fraud
TXN-501216,2024-09-18 11:48:54,ACH,Commercial Banking,44594.09,Y,Synthetic Identity,Manual Review,19914.24,5040.45,Under Review
TXN-501881,2024-09-18 17:34:13,Card,Payments & Cards,35241.07,N,,,0.0,0.0,Cleared - False Positive
TXN-501628,2024-09-18 18:28:25,Wire,Payments & Cards,141333.21,N,,,0.0,0.0,Cleared - False Positive
TXN-500782,2024-09-19 11:27:12,Card,Payments & Cards,13901.05,N,,,0.0,0.0,Cleared - False Positive
TXN-501079,2024-09-19 16:55:17,Card,Payments & Cards,5487.38,N,,,0.0,0.0,Cleared - False Positive
TXN-501157,2024-09-19 19:14:18,Card,Payments & Cards,44534.15,Y,Synthetic Identity,Manual Review,26989.69,261.97,Under Review
TXN-501899,2024-09-20 02:18:25,Mobile,Digital Banking,9895.69,N,,,0.0,0.0,Cleared - False Positive
TXN-502304,2024-09-20 02:55:09,Card,Payments & Cards,12435.49,N,,,0.0,0.0,Cleared - False Positive
TXN-500961,2024-09-20 08:28:16,Card,Payments & Cards,1751.81,N,,,0.0,0.0,Cleared - False Positive
TXN-501087,2024-09-20 13:37:31,Mobile,Digital Banking,9700.11,N,,,0.0,0.0,Cleared - False Positive
TXN-501877,2024-09-20 21:02:49,Mobile,Digital Banking,9559.86,Y,Account Takeover,Rule Engine,8329.98,17.13,Confirmed Fraud
TXN-502405,2024-09-21 03:04:22,Mobile,Digital Banking,11067.55,N,,,0.0,0.0,Cleared - False Positive
TXN-502070,2024-09-21 05:34:12,Online,Digital Banking,29428.76,N,,,0.0,0.0,Cleared - False Positive
TXN-500717,2024-09-22 13:50:53,Wire,Payments & Cards,76958.26,N,,,0.0,0.0,Cleared - False Positive
TXN-502308,2024-09-22 18:28:16,Card,Payments & Cards,26190.91,Y,Synthetic Identity,Rule Engine,16412.84,4474.63,Confirmed Fraud
TXN-501792,2024-09-22 18:46:16,ACH,Commercial Banking,40685.36,N,,,0.0,0.0,Cleared - False Positive
TXN-502463,2024-09-23 03:44:54,Wire,Payments & Cards,212803.06,N,,,0.0,0.0,Cleared - False Positive
TXN-501030,2024-09-23 04:59:13,ACH,Commercial Banking,19797.21,N,,,0.0,0.0,Cleared - False Positive
TXN-501343,2024-09-23 11:53:19,Mobile,Digital Banking,16609.61,Y,Synthetic Identity,Customer Reported,11379.06,2775.15,Charged Off
TXN-500712,2024-09-23 12:27:25,ACH,Commercial Banking,26876.97,Y,Account Takeover,ML Model,13509.08,2996.94,Charged Off
TXN-502531,2024-09-23 14:19:19,Card,Payments & Cards,17842.27,Y,Card Not Present,Rule Engine,9985.88,411.18,Under Review
TXN-502343,2024-09-23 14:47:52,Online,Digital Banking,31239.84,N,,,0.0,0.0,Cleared - False Positive
TXN-502302,2024-09-24 02:07:41,Card,Payments & Cards,2830.44,N,,,0.0,0.0,Cleared - False Positive
TXN-500901,2024-09-24 07:27:58,ACH,Commercial Banking,25300.98,N,,,0.0,0.0,Cleared - False Positive
TXN-501896,2024-09-24 09:37:26,Online,Digital Banking,16502.53,N,,,0.0,0.0,Cleared - False Positive
TXN-502520,2024-09-24 15:43:43,ACH,Commercial Banking,22761.4,N,,,0.0,0.0,Cleared - False Positive
TXN-501922,2024-09-25 06:26:59,Card,Payments & Cards,1090.21,N,,,0.0,0.0,Cleared - False Positive
TXN-500800,2024-09-25 07:42:00,Online,Digital Banking,42869.97,N,,,0.0,0.0,Cleared - False Positive
TXN-500305,2024-09-25 15:52:09,Card,Payments & Cards,41756.36,N,,,0.0,0.0,Cleared - False Positive
TXN-500181,2024-09-25 18:49:20,ATM,Retail Banking,20871.78,N,,,0.0,0.0,Cleared - False Positive
TXN-500404,2024-09-26 03:03:20,Card,Payments & Cards,13423.1,Y,Card Skimming,Customer Reported,12453.16,4445.13,Charged Off
TXN-500544,2024-09-26 10:58:34,Mobile,Digital Banking,19444.12,Y,Account Takeover,Rule Engine,13445.23,907.53,Under Review
TXN-500952,2024-09-28 03:58:34,Mobile,Digital Banking,42862.26,N,,,0.0,0.0,Cleared - False Positive
TXN-500702,2024-09-28 12:57:08,Card,Payments & Cards,20726.72,Y,Card Not Present,Manual Review,6292.8,625.69,Confirmed Fraud
TXN-500263,2024-09-28 21:37:54,Mobile,Digital Banking,37598.95,N,,,0.0,0.0,Cleared - False Positive
